dataset,cow_id,view,has_rgb_png,has_depth_png,has_view_ply,has_top_level_ply,has_aligned_ply
CowDatabase2,29,left,True,True,True,False,True
CowDatabase2,29,right,True,True,True,False,True
CowDatabase2,29,top,True,True,True,False,True
CowDatabase2,3,left,True,True,True,False,True
CowDatabase2,3,right,True,True,True,False,True
CowDatabase2,3,top,True,True,True,False,True
CowDatabase2,30,left,True,True,True,False,True
CowDatabase2,30,right,True,True,True,False,True
CowDatabase2,30,top,True,True,True,False,True
CowDatabase2,31,left,True,True,True,False,True
CowDatabase2,31,right,True,True,True,False,True
CowDatabase2,31,top,True,True,True,False,True
CowDatabase2,32,left,True,True,True,False,True
CowDatabase2,32,right,True,True,True,False,True
CowDatabase2,32,top,True,True,True,False,True
CowDatabase2,33,left,True,True,True,False,True
CowDatabase2,33,right,True,True,True,False,True
CowDatabase2,33,top,True,True,True,False,True
CowDatabase2,34,left,True,True,True,False,True
CowDatabase2,34,right,True,True,True,False,True
CowDatabase2,34,top,True,True,True,False,True
CowDatabase2,35,left,True,True,True,False,True
CowDatabase2,35,right,True,True,True,False,True
CowDatabase2,35,top,True,True,True,False,True
CowDatabase2,36,left,True,True,True,False,True
CowDatabase2,36,right,True,True,True,False,True
CowDatabase2,36,top,True,True,True,False,True
CowDatabase2,37,left,True,True,True,False,True
CowDatabase2,37,right,True,True,True,False,True
CowDatabase2,37,top,True,True,True,False,True
CowDatabase2,38,left,True,True,True,False,True
CowDatabase2,38,right,True,True,True,False,True
CowDatabase2,38,top,True,True,True,False,True
CowDatabase2,39,left,True,True,True,False,True
CowDatabase2,39,right,True,True,True,False,True
CowDatabase2,39,top,True,True,True,False,True
CowDatabase2,4,left,True,True,True,False,True
CowDatabase2,4,right,True,True,True,False,True
CowDatabase2,4,top,True,True,True,False,True
CowDatabase2,40,left,True,True,True,False,True
CowDatabase2,40,right,True,True,True,False,True
CowDatabase2,40,top,True,True,True,False,True
CowDatabase2,41,left,True,True,True,False,True
CowDatabase2,41,right,True,True,True,False,True
CowDatabase2,41,top,True,True,True,False,True
CowDatabase2,42,left,True,True,True,False,True
CowDatabase2,42,right,True,True,True,False,True
CowDatabase2,42,top,True,True,True,False,True
CowDatabase2,43,left,True,True,True,False,True
CowDatabase2,43,right,True,True,True,False,True
CowDatabase2,43,top,True,True,True,False,True
CowDatabase2,44,left,True,True,True,False,True
CowDatabase2,44,right,True,True,True,False,True
CowDatabase2,44,top,True,True,True,False,True
CowDatabase2,45,left,True,True,True,False,True
CowDatabase2,45,right,True,True,True,False,True
CowDatabase2,45,top,True,True,True,False,True
CowDatabase2,46,left,True,True,True,False,True
